"Cocunut";"Mortgage_YN";"AGE_AT_ORIGINATION";"AGE";"YEARS_WITH_BANK";"MARTIAL_STATUS";"EDUCATION";"EMPLOYMENT";"GENDER";"CUST_INCOME";"CURRENT_ADDRESS_DATE";"CURRENT_JOB_DATE";"CURRENT_WITH_BANK_DATE";"CURRENT_BALANCE_EUR"
43045;"N";NA;49;13;"D";"BCR";"PVE";"F";2797,638462;1968-08-05;2011-05-01;2004-06-23;1500,066615
43053;"N";NA;56;13;"M";"BCR";"STE";"M";404,0937692;2003-01-01;2008-02-05;2003-09-18;1533,551769
43054;"N";NA;32;7;"M";"HGH";"PVE";"M";175,3615385;1985-07-23;2007-10-01;2010-06-04;4092,320923
43055;"N";NA;37;11;"M";"HGH";"PVE";"M";189,7692308;2006-06-27;2014-09-28;2006-04-19;1260,610154
43060;"N";NA;45;5;"M";"HGH";"PVE";"F";176,3923077;1988-01-01;2009-06-01;2012-06-19;142,4845385
43071;"N";NA;40;5;"S";"PRS";"PVE";"F";171,1;1977-02-19;2015-08-01;2011-12-22;1679,235385
43080;"N";NA;59;1;"S";"HGH";"STE";"M";161,5692308;2010-06-01;2015-10-13;2015-10-15;0
43081;"N";NA;59;14;"D";"BCR";"PVE";"F";2344,376923;1996-07-01;2002-09-30;2003-01-22;5236,208077
43084;"N";NA;63;13;"M";"HGH";"RET";"F";398,9952308;2006-04-19;9999-10-01;2003-07-07;8024,920846
43087;"N";NA;54;13;"M";"HGH";"STE";"M";272,4129231;1970-03-08;1995-05-14;2003-12-22;1283,320231
43088;"N";NA;33;3;"S";"HGH";"PVE";"M";192,3076923;1984-04-20;2015-06-01;2014-05-06;291,9284615
43089;"N";NA;43;6;"D";"HGH";"PVE";"F";190,5;2010-03-11;2010-09-13;2010-09-11;803,9470769
43090;"N";NA;37;6;"M";"HGH";"PVE";"F";214,9666154;2007-01-01;2008-12-12;2011-07-04;3437,100769
43095;"N";NA;23;1;"S";"HGH";"PVE";"M";364,2692308;2001-10-01;2015-04-15;2015-10-19;372,8291538
43103;"N";NA;70;2;"M";"HGH";"RET";"M";211,6179231;1991-01-01;1999-12-28;2014-10-10;0
43107;"N";NA;39;6;"M";"HGH";"PVE";"F";167,7430769;2011-06-01;2012-04-13;2011-03-10;4197,184692
43108;"N";NA;59;1;"M";"HGH";"STE";"M";393,4153846;1958-10-26;1979-09-17;2015-10-23;579,2556154
43116;"N";NA;45;1;"M";"HGH";"STE";"M";518,8924615;1972-02-16;1995-12-04;2015-10-16;160,9700769
43121;"N";NA;64;9;"M";"HGH";"RET";"F";271,1323077;1973-04-29;9999-10-01;2008-01-28;23,43869231
43122;"N";NA;62;5;"S";"HGH";"RET";"F";238,8275385;1969-01-01;9999-10-01;2012-06-13;6159,557538
43124;"N";NA;54;6;"M";"BCR";"PVE";"F";723,0769231;1995-01-01;2008-06-10;2011-02-10;115,7520769
43125;"N";NA;51;4;"M";"HGH";"PVE";"F";189,0176923;1993-01-01;2007-09-07;2013-04-19;190,0988462
43126;"N";NA;61;8;"M";"HGH";"STE";"F";312,9159231;1956-07-31;1999-03-15;2008-11-17;860,3489231
43127;"N";NA;36;9;"D";"HGH";"PVE";"M";384,6153846;2011-10-01;2011-07-01;2008-01-30;1017,347846
43129;"N";NA;31;1;"M";"HGH";"PVE";"F";163,8153846;2013-10-01;2014-05-05;2015-10-28;59,48346154
43131;"N";NA;56;13;"M";"BCR";"SFE";"M";849,6769231;2007-12-30;1996-02-05;2004-05-06;12351,87692
43132;"N";NA;53;11;"M";"BCR";"STE";"M";417,3568462;1996-06-15;1986-11-14;2005-09-22;967,2944615
43142;"N";NA;58;13;"M";"HGH";"PVE";"M";491,1867692;1970-09-10;1990-07-03;2004-02-19;563,6277692
43144;"N";NA;68;8;"M";"HGH";"RET";"F";343,4572308;1976-05-04;9999-10-01;2008-11-03;4192,427308
43150;"N";NA;36;10;"D";"HGH";"STE";"F";326,4153846;2012-04-10;2007-01-08;2007-01-17;3252,329385
43152;"N";NA;55;5;"M";"HGH";"STE";"M";302,55;1998-12-31;1986-09-12;2012-05-21;3349,463923
43160;"N";NA;61;1;"M";"HGH";"RET";"M";277,5939231;2000-01-31;9999-10-01;2015-10-30;1810,867231
43161;"N";NA;34;9;"M";"HGH";"PVE";"F";375,4307692;2002-09-01;2007-09-18;2007-09-18;354,2510769
43163;"N";NA;64;7;"M";"HGH";"RET";"F";282,2738462;1980-05-01;9999-10-01;2010-04-29;1609,741692
43164;"N";NA;49;11;"M";"HGH";"STE";"M";423,0769231;2009-01-01;2000-12-01;2006-02-07;312,5687692
43165;"N";NA;64;7;"M";"PRS";"PVE";"M";279,433;1953-05-14;1986-03-21;2010-05-14;2461,733231
43166;"N";NA;59;9;"S";"HGH";"STE";"M";425,7736923;2001-01-01;1980-08-23;2007-09-10;2049,077846
